ID,JHI_DATE,CONVERSIONVALUE,SUELDOMIN
,2012-01-28,8.69,1548.22
,2012-01-29,8.68,1548.22
,2012-01-30,8.77,1548.22
,2012-01-31,8.77,1548.22
,2012-02-01,8.68,1548.22
,2012-02-02,8.68,1548.22
,2012-02-03,8.68,1548.22
,2012-02-04,8.68,1548.22
,2012-02-05,8.65,1548.22
,2012-02-06,8.65,1548.22
,2012-02-07,8.61,1548.22
,2012-02-08,8.59,1548.22
,2012-02-09,8.58,1548.22
,2012-02-10,8.63,1548.22
,2012-02-11,8.63,1548.22
,2012-02-12,8.63,1548.22
,2012-02-13,9.02,1548.22
,2012-02-14,9.02,1548.22
,2012-02-15,8.92,1548.22
,2012-02-16,8.81,1548.22
,2012-02-17,8.81,1548.22
,2012-02-18,8.81,1548.22
,2012-02-19,8.94,1548.22
,2012-02-20,8.97,1548.22
,2012-02-21,8.92,1548.22
,2012-02-22,9.01,1548.22
,2012-02-23,8.97,1548.22
,2012-02-24,8.97,1548.22
,2012-02-26,8.98,1548.22
,2012-02-27,8.96,1548.22
,2012-02-28,8.95,1548.22
,2012-02-29,8.91,1548.22
,2012-03-01,8.94,1548.22
,2012-03-02,8.94,1548.22
,2012-03-03,8.94,1548.22
,2012-03-04,8.96,1548.22
,2012-03-05,9.34,1548.22
,2012-03-06,9.36,1548.22
,2012-03-07,9.58,1548.22
,2012-03-08,9.58,1548.22
,2012-03-10,9.58,1548.22
,2012-03-11,9.58,1548.22
,2012-03-12,9.56,1548.22
,2012-03-14,9.47,1548.22
,2012-03-15,9.63,1548.22
,2012-03-16,9.63,1548.22
,2012-03-17,9.63,1548.22
,2012-03-18,9.51,1548.22
,2012-03-19,9.52,1548.22
,2012-03-20,9.35,1548.22
,2012-03-21,9.34,1548.22
,2012-03-22,9.34,1548.22
,2012-03-23,9.34,1548.22
,2012-03-24,9.34,1548.22
,2012-03-25,9.32,1548.22
,2012-03-26,9.31,1548.22
,2012-03-27,9.32,1548.22
,2012-03-28,9.38,1548.22
,2012-03-29,9.38,1548.22
,2012-03-30,9.38,1548.22
,2012-03-31,9.38,1548.22
,2012-04-01,9.38,1548.22
,2012-04-02,9.38,1548.22
,2012-04-03,9.36,1548.22
,2012-04-04,9.36,1548.22
,2012-04-05,9.4,1548.22
,2012-04-06,9.4,1548.22
,2012-04-07,9.4,1548.22
,2012-04-08,9.4,1548.22
,2012-04-09,9.39,1548.22
,2012-04-10,9.4,1548.22
,2012-04-11,9.4,1548.22
,2012-04-12,9.35,1548.22
,2012-04-13,9.35,1548.22
,2012-04-14,9.39,1548.22
,2012-04-15,9.35,1548.22
,2012-04-16,9.35,1548.22
,2012-04-18,9.37,1548.22
,2012-04-19,9.39,1548.22
,2012-04-20,9.36,1548.22
,2012-04-21,9.36,1548.22
,2012-04-22,9.31,1548.22
,2012-04-23,9.35,1548.22
,2012-04-24,9.31,1548.22
,2012-04-25,9.31,1548.22
,2012-04-26,9.27,1548.22
,2012-04-29,9.25,1548.22
,2012-04-30,9.28,1548.22
,2012-05-01,9.28,1780.45
,2012-05-02,9.24,1780.45
,2012-05-03,9.23,1780.45
,2012-05-04,9.23,1780.45
,2012-05-05,9.23,1780.45
,2012-05-06,9.2,1780.45
,2012-05-07,9.24,1780.45
,2012-05-08,9.3,1780.45
,2012-05-09,9.32,1780.45
,2012-05-10,9.29,1780.45
,2012-05-11,9.29,1780.45
,2012-05-12,9.29,1780.45
,2012-05-13,9.29,1780.45
,2012-05-14,9.32,1780.45
,2012-05-15,9.29,1780.45
,2012-05-16,9.43,1780.45
,2012-05-17,9.47,1780.45
,2012-05-18,9.47,1780.45
,2012-05-19,9.47,1780.45
,2012-05-20,9.53,1780.45
,2012-05-21,9.63,1780.45
,2012-05-22,9.61,1780.45
,2012-05-23,9.61,1780.45
,2012-05-24,9.69,1780.45
,2012-05-25,9.69,1780.45
,2012-05-26,9.69,1780.45
,2012-05-27,9.7,1780.45
,2012-05-28,9.7,1780.45
,2012-05-29,9.52,1780.45
,2012-05-30,9.61,1780.45
,2012-05-31,9.56,1780.45
,2012-06-01,9.64,1780.45
,2012-06-02,9.64,1780.45
,2012-06-03,9.62,1780.45
,2012-06-04,9.56,1780.45
,2012-06-05,9.43,1780.45
,2012-06-06,9.41,1780.45
,2012-06-07,9.39,1780.45
,2012-06-08,9.34,1780.45
,2012-06-09,9.34,1780.45
,2012-06-10,9.34,1780.45
,2012-06-11,9.34,1780.45
,2012-06-12,9.34,1780.45
,2012-06-13,9.39,1780.45
,2012-06-14,9.4,1780.45
,2012-06-15,9.39,1780.45
,2012-06-16,9.39,1780.45
,2012-06-17,9.39,1780.45
,2012-06-18,9.39,1780.45
,2012-06-19,9.33,1780.45
,2012-06-20,9.34,1780.45
,2012-06-21,9.34,1780.45
,2012-06-22,9.42,1780.45
,2012-06-23,9.42,1780.45
,2012-06-24,9.42,1780.45
,2012-06-25,9.45,1780.45
,2012-06-26,9.51,1780.45
,2012-06-27,9.45,1780.45
,2012-06-28,9.51,1780.45
,2012-06-29,9.37,1780.45
,2012-06-30,9.37,1780.45
,2012-07-01,9.37,1780.45
,2012-07-02,9.37,1780.45
,2012-07-03,9.36,1780.45
,2012-07-05,9.33,1780.45
,2012-07-06,9.33,1780.45
,2012-07-07,9.33,1780.45
,2012-07-08,9.4,1780.45
,2012-07-09,9.4,1780.45
,2012-07-10,9.4,1780.45
,2012-07-11,9.42,1780.45
,2012-07-12,9.4,1780.45
,2012-07-13,9.36,1780.45
,2012-07-14,9.36,1780.45
,2012-07-15,9.37,1780.45
,2012-07-16,9.36,1780.45
,2012-07-17,9.03,1780.45
,2012-07-18,9.35,1780.45
,2012-07-19,9.34,1780.45
,2012-07-20,9.34,1780.45
,2012-07-21,9.34,1780.45
,2012-07-22,9.35,1780.45
,2012-07-23,9.42,1780.45
,2012-07-24,9.45,1780.45
,2012-07-29,9.42,1780.45
,2012-07-30,9.43,1780.45
,2012-07-31,9.42,1780.45
,2012-08-01,9.4,1780.45
,2012-08-02,9.43,1780.45
,2012-08-03,9.43,1780.45
,2012-08-04,9.43,1780.45
,2012-08-05,9.43,1780.45
,2012-08-06,9.4,1780.45
,2012-08-07,9.4,1780.45
,2012-08-08,9.46,1780.45
,2012-08-09,9.45,1780.45
,2012-08-10,9.45,1780.45
,2012-08-11,9.45,1780.45
,2012-08-12,9.43,1780.45
,2012-08-13,9.48,1780.45
,2012-08-14,9.48,1780.45
